read,delay,Average,Max,Min,Std. Dev,Count > 16.66,Count <= 10
896,4.98,,,,,,
897,10.21,,,,,,
898,7.3,,,,,,
899,11.83,,,,,,
900,8.78,,,,,,
901,5.92,,,,,,
902,11.8,,,,,,
903,9.43,,,,,,
904,6.96,,,,,,
905,11.08,,,,,,
906,8.61,,,,,,
907,6.05,,,,,,
908,11.15,,,,,,
909,8,,,,,,
910,5.73,,,,,,
911,10.68,,,,,,
912,7.8,,,,,,
913,5.03,,,,,,
914,10.29,,,,,,
915,7.51,,,,,,
916,5.02,,,,,,
917,8.98,,,,,,
918,5.89,,,,,,
919,11.28,,,,,,
920,8.81,,,,,,
921,6.68,,,,,,
922,10.72,,,,,,
923,8.57,,,,,,
924,5.48,,,,,,
925,9.47,,,,,,
926,7.34,,,,,,
927,5.72,,,,,,
928,10.18,,,,,,
929,7.32,,,,,,
930,4.57,,,,,,
931,8.77,,,,,,
932,7.14,,,,,,
933,11.55,,,,,,
934,8.61,,,,,,
935,5.63,,,,,,
936,10.01,,,,,,
937,8.57,,,,,,
938,6.31,,,,,,
939,10.72,,,,,,
940,8.11,,,,,,
941,5.87,,,,,,
942,11.85,,,,,,
943,9.03,,,,,,
944,6.46,,,,,,
945,10.79,,,,,,
946,7.61,,,,,,
947,5.37,,,,,,
948,10.85,,,,,,
949,7.79,,,,,,
950,5.6,,,,,,
951,9.6,,,,,,
952,6.81,,,,,,
953,4.39,,,,,,
954,10.22,,,,,,
955,7.65,,,,,,
956,5.45,,,,,,
957,10.07,,,,,,
958,7.51,,,,,,
959,4.83,,,,,,
960,10.4,,,,,,
961,7.81,,,,,,
962,11.88,,,,,,
963,8.89,,,,,,
964,6.45,,,,,,
965,11.6,,,,,,
966,8.91,,,,,,
967,6.4,,,,,,
968,11.14,,,,,,
969,8.73,,,,,,
970,5.6,,,,,,
971,11.06,,,,,,
972,8.04,,,,,,
973,4.86,,,,,,
974,9.22,,,,,,
975,6.48,,,,,,
976,11.83,,,,,,
977,9.35,,,,,,
978,6.72,,,,,,
979,11.63,,,,,,
980,9.88,,,,,,
981,6.32,,,,,,
982,11.55,,,,,,
983,8.78,,,,,,
984,6.27,,,,,,
985,10.32,,,,,,
986,7.22,,,,,,
